Abies densa, 54
Abies pindrow, 55
Abies smithiana, 56
Acacia auriculiformis, 57
Acacia catechu, 42
Acacia ferruginea, 58
Acacia lenticularis, 59
Acacia leucophloea, 60
Acacia mearnsii, 1
Acacia melanoxylon, 2
Acacia species, 61
Acer species, 62
Acrocarpus fraxinifolius, 3
Aegle marmelos, 51
Aglaia hiernii, 63
Albizia amara, 64
Albizia species, 65
Alnus nepalensis, 66
Amoora species, 67
Amoora wallichii, 68
Anogeissus latifolia, 4
Anogeissus pendula, 28
Aporosa lindleyana, 5
Artocarpus heterophyllus, 6
Artocarpus integrifolia, 7
Bassia latifolia, 41
Bauhinia retusa, 52
Bauhinia species, 69
Bauhinia variegata, 53
Bombax ceiba, 70
Bombax insigne, 71
Bombax malabaricum, 72
Boswellia serrata, 73
Bridelia retusa, 74
Bridelia squamosa, 75
Buchanania lanzan, 38
Buchanania latifolia, 37
Butea frondosa, 30
Butea monosperma, 29
Callicarpa arborea, 76
Careya arborea, 77
Castanopsis hystrix, 78
Castanopsis indica, 79
Castanopsis species, 80
Castanopsis tribuloides, 81
Chloroxylon swietenia, 27
Cinnamomum species, 82
Cleistanthus collinus, 49
Cullenia excelsa, 8
Cynometra polyandra, 83
Dalbergia latifolia, 84
Dalbergia paniculata, 85
Dalbergia sissoo, 86
Dillenia pentagyna, 87
Diospyros melanoxylon, 88
Diospyros species, 35
Dolichandrone falcata, 89
Dysoxylum binectariferum, 90
Ehretia laevis, 91
Emblica officinalis, 92
Eucalyptus species, 93
Eugenia jambolana, 21
Eugenia species, 94
Ficus species, 95
Flacourtia indica, 96
Flacourtia ramontchi, 97
Gardenia gum, 47
Gardenia latifolia, 46
Gardenia lucida, 45
Gardenia resinifera, 43
Gardenia turgida, 44
Garuga pinnata, 98
Gmelina arborea, 99
Grewia tiliaefolia, 100
Hardwickia binata, 101
Holarrhena antidysenterica, 9
Jonesia asoca, 102
Lagerstroemia flosreginae, 103
Lagerstroemia lanceolata, 10
Lagerstroemia microcarpa, 11
Lagerstroemia parviflora, 36
Lagerstroemia speciosa, 104
Lannea coromandelica, 31
Lannea grandis, 33
Lyonia ovalifolia, 105
Macaranga peltata, 12
Macaranga species, 106
Machilus species, 107
Madhuca indica, 40
Madhuca latifolia, 39
Madhuca longifolia, 108
Mallotus philippensis, 109
Manilkara achras, 110
Memecylon edule, 111
Michelia species, 112
Miliusa tomentosa, 113
Mitragyna parviflora, 114
Myristica malabarica, 13
Odina wodier, 34
Olea dioica, 14
Palaquium ellipticum, 15
Phyllanthus emblica, 115
Pieris ovalifolia, 116
Pinus excelsa, 117
Pinus longifolia, 118
Pinus patula, 16
Pinus roxburghii, 119
Pinus wallichiana, 120
Prosopis cineraria, 121
Prosopis juliflora, 122
Pterocarpus marsupium, 123
Quercus dilatata, 124
Quercus floribunda, 125
Quercus incana, 126
Quercus semecarpifolia, 127
Quercus species, 128
Quercus tribuloides, 129
Rhododendron arboreum, 130
Saccopetalum tomentosum, 131
Salmalia malabarica, 132
Salvadora oleoides, 133
Saraca asoca, 134
Saraca indica, 135
Schima wallichii, 136
Schleichera oleosa, 18
Schleichera trijuga, 17
Semecarpus anacardium, 137
Shorea robusta, 138
Stephegyne parviflora, 139
Stereospermum chelonoides, 140
Stereospermum colais, 141
Stereospermum personatum, 142
Symplocos theaefolia, 143
Syzygium cumini, 19
Syzygium jambolanum, 20
Taxus baccata, 144
Tectona grandis, 22
Terminalia belerica, 145
Terminalia crenulata, 23
Terminalia elliptica, 146
Terminalia myriocarpa, 147
Terminalia paniculata, 25
Terminalia tomentosa, 24
Trewia nudiflora, 148
Wrightia tinctoria, 48
Wrightia tomentosa, 149
Xylia xylocarpa, 26
Zizyphus jujuba, 150
Zizyphus mauritiana, 151
Zizyphus xylopyrus, 50
