Western Himalayas,region
1    Abies densa,sqrt(V) = -0.084305 + 3.060072 D
2    Abies pindrow,V = 0.293884 - 3.441808D + 15.922114 D2
3    Abies smithiana,sqrt(V) = 0.20050 + 4.58840 D - 1.42603 sqrtD
4    Acacia catechu,V = 0.02384 - 0.72161 D + 7.46888D2
5    Acer species,sqrt(V) = -0.10851 + 3.04250 D
6    Lyonia ovalifolia,V = 0.03468 - 0.56878 D + 4.72282 D2
6    Pieris ovalifolia,V = 0.03468 - 0.56878 D + 4.72282 D2
7    Mallotus philippensis,V = 0.14749 - 2.87503 D + 19.61977 D2- 19.11630 D3
8    Pinus excelsa,V = 0.213315+ 12.631292D2 - 2.519227/D
8    Pinus wallichiana,V = 0.213315+ 12.631292D2 - 2.519227/D
9    Pinus roxburghii,sqrt(V) = 0.05131 + 3.9859 D - 1.0245 sqrtD
9    Pinus longifolia,sqrt(V) = 0.05131 + 3.9859 D - 1.0245 sqrtD
10    Quercus dilatata,V/D2 = 0.0988/D2 - 1.5547/D + 10.1631
11    Quercus floribunda,V/D2= 0.0988/D2 - 1.5547/D + 10.1631
12    Quercus incana,sqrt(V) = 0.240157 + 3.820069 D -1.394520 sqrtD
13    Quercus semecarpifolia,V/D2 = 0.0988/D2 - 1.5547/D + 10.1631
14    Rhododendron arboreum,V = 0.06007 - 0.21874 sqrtD + 3.63428 D2
15    Shorea robusta,V/D2 = 0.1919/D2- 2.7070/D + 11.7563
16    Taxus baccata,V = 0.04430 - 0.84266 D + 6.36239 D2+ 2.27556D3
17    Tectona grandis,V/D = 0.00341/D-0.65623 + 7.881 D
Eastern Himalayas,region
1    Alnus nepalensis,V/D2 = 0.06674/D2 - 0.02039/D + 0.001559 (dia D is in cm)
2    Castanopsis indica,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
3    Castanopsis species,V = 0.05331 - 0.87098 D + 6.52533 D2+ 1.74231 D3
4    Cinnamomum species,V = 0.10970 - 0.88666 D + 6.09700 D2 - 1.62672 D3
5    Ficus species,sqrtV = 0.03629 + 3.95389 D - 0.84421 sqrtD
6    Macaranga species,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
7    Machilus species,V/D2 = 4.84009 - 0.02402/D2
8    Michelia species,V = 0.23057 - 3.51494D + 17.62619 D2
9    Quercus species,V/D2 = 5.09470 + 0.00563/D2
10    Symplocos theaefolia,V = -0.03754 + 0.000587 D2(dia D is in cm)
11    Terminalia myriocarpa,V = -0.096981 + 0.001065 D2 (dia D is in cm)
North-Eastern Ranges,region
1    Albizia species,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
2    Bauhinia species,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
3    Callicarpa arborea,sqrtV = -0.04506 + 2.33446 D
4    Castanopsis hystrix,sqrtV = 0.34640 + 3.99269 D - 1.64666 sqrtD
4    Castanopsis tribuloides,sqrtV = 0.34640 + 3.99269 D - 1.64666 sqrtD
Quercus tribuloides,sqrtV = 0.34640 + 3.99269 D - 1.64666 sqrtD
5    Castanopsis species,V = 0.05331 - 0.87098 D + 6.52533 D2 + 1.74231 D3
6    *Cynometra polyandra,V = 0.15958 - 1.57976 D + 8.25014 D2 - 0.48518 D3
7    Dysoxylum binectariferum,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
8    Eugenia species,V = -0.02792 + 0.92933 D - 5.56465 D2+ 25.77488 D3
9    Ficus species,sqrtV = 0.03629 + 3.95389 D - 0.84421 sqrtD
10    Gmelina arborea,V = 0.01156 + 0.21230 D + 5.10448 D2
