Western Himalayas,region
Pinus roxburghii,BE1 = 608.6848 D - 82.2998 D + 19.9426
Pinus roxburghii,BE1 = 26.2180 D2 + 1.6287 D + 0.8936
Pinus roxburghii,BE1 = -0.0443 D12 + 1.6656 D1 - 1.7908
Pinus roxburghii,BE4 = 0.0023 D12 + 0.1103 D1 - 0.0527
Pinus longifolia,BE1 = 608.6848 D - 82.2998 D + 19.9426
Pinus longifolia,BE1 = 26.2180 D2 + 1.6287 D + 0.8936
Pinus longifolia,BE1 = -0.0443 D12 + 1.6656 D1 - 1.7908
Pinus longifolia,BE4 = 0.0023 D12 + 0.1103 D1 - 0.0527
Quercus incana,BE1= 185.5939 logeD + 442.2679
Quercus incana,BE1 = 21.6921 logeD + 52.8184
Quercus incana,BE1 = 0.2861 D12 - 0.1181 Di + 0.0455
Quercus incana,BE4 = 0.0024 D13 + 0.0075 D12 - 0.0543 D1+0.0868
Rhododendron arboreum,BEI= -262.1187 D2 + 419.5980 D - 19.2402
Rhododendron arboreum,BE1 = 6.5974 logeD + 17.4170
Rhododendron arboreum,BE3 = 0.0776 D12 + 0.4770 D1 + 0.1780
Rhododendron arboreum,BE4 = 0.0172 D12 + 0.0488 D1 - 0.0212
Quercus semecarpifolia,BE1= -46.1643 D2 + 323.0309 D - 23.3726
Quercus semecarpifolia,BE2= -4.5071 D2 + 46.8789 D - 3.3746
Quercus semecarpifolia,BE3 = 0.0776 D1 2 + 0.4770 D1 + 0.1780
Quercus semecarpifolia,BE4 = 0.0177 D12 + 0.0423 D1 - 0.0023
Lyonia ovalifolia,BE1 = 413.6936 D2 + 163.3936 D - 6.2066
Lyonia ovalifolia,BE2= 15.4757 D2 + 16.9044 D - 0.7621
Lyonia ovalifolia,BE1 = 0.2511 D12 - 0.5647 Di + 0.8784
Lyonia ovalifolia,BE4= 0.0046 D13 - 0.0492 D12 + 0.1761 D1 - 0.1050
Pieris ovalifolia,BE1 = 413.6936 D2 + 163.3936 D - 6.2066
Pieris ovalifolia,BE2= 15.4757 D2 + 16.9044 D - 0.7621
Pieris ovalifolia,BE1 = 0.2511 D12 - 0.5647 Di + 0.8784
Pieris ovalifolia,BE4= 0.0046 D13 - 0.0492 D12 + 0.1761 D1 - 0.1050
Cedrus deodara,BE1 = -49.9504 D2 + 143.3015 D + 10.5851
Cedrus deodara,BE2 = 1.7605 logeD + 5.5882
Cedrus deodara,BE1 = 0.0787 D13 - 1.0246 D12 + 4.7307 D1 - 1.7967
Cedrus deodara,BE4 = 0.0072 D13 - 0.1118 D12 + 0.5714 D1 - 0.2522
11    Shorea robusta,BE1 = -56.4459 D2 + 140.2030 D + 6.1908
I    Shorea robusta,BE1 = -3.4159 D2 + 18.1330 D + 0.2431
I    Shorea robusta,BE1 = 0.1094 D12 + 0.7826 D1 - 0.8099
